SK_ID_CURR,GENDER,COLLATERAL,OWN_JOB,MARRIED,INCOME,TARGET
100002,1,1,0,0,1,0
100003,0,0,0,0,2,1
100004,1,1,0,0,0,0
100006,0,1,0,0,1,1
100007,1,1,1,1,1,0
100008,1,1,0,0,0,0
100009,0,1,0,0,1,0
100010,1,1,1,1,2,0
100011,0,1,0,0,0,1
100012,1,1,0,0,1,0
100014,0,1,0,0,0,1
100015,0,1,0,0,0,1
100016,0,1,0,0,0,1
100017,1,1,0,0,2,0
100018,0,1,0,0,1,1
100019,1,1,1,0,1,0
100020,1,0,1,0,0,0
100021,0,1,1,0,0,0
100022,0,1,0,0,0,1
100023,0,1,0,0,0,1
100024,1,1,0,0,1,0
100025,0,1,0,0,1,0
100026,0,0,0,0,2,1
100027,0,1,0,0,0,1
100029,1,1,1,1,1,0
100030,0,1,0,0,0,1
100031,0,1,0,0,0,1
100032,1,1,1,1,0,0
100033,1,1,0,0,2,0
100034,1,1,0,0,0,0
100035,0,1,0,0,2,1
100036,0,1,0,0,0,1
100037,0,0,0,0,0,1
100039,1,1,1,0,2,0
100040,0,1,0,0,1,1
100041,0,0,0,0,0,1
100043,0,1,0,0,1,1
100044,1,1,1,1,1,0
100045,0,1,0,0,0,1
100046,1,1,0,0,1,0
100047,1,1,0,0,1,0
100048,0,1,1,1,1,0
100049,0,0,0,0,1,1
100050,0,1,0,0,0,1
100051,1,1,1,1,1,0
100052,0,1,0,0,0,1
100053,0,1,0,0,1,1
100054,0,1,1,1,0,0
100055,0,0,0,0,1,1
100056,1,1,1,1,2,0
100058,0,1,0,0,0,1
100059,1,1,0,0,2,0
100060,1,1,0,0,0,0
100061,0,1,1,0,2,0
100062,1,1,0,0,0,0
100063,0,1,0,0,1,1
100064,0,0,0,0,0,1
100068,1,1,1,1,0,0
100069,1,1,1,1,2,0
100070,1,1,0,0,2,0
100071,0,1,0,0,1,1
100072,1,0,0,0,1,1
100073,1,1,0,0,2,0
100075,0,0,0,0,0,1
100076,1,1,0,0,1,0
100077,1,1,0,0,1,0
100078,0,1,0,0,1,0
100079,1,1,1,1,2,0
100080,0,0,0,0,1,1
100081,1,1,0,0,1,0
100082,1,0,0,0,1,1
100083,1,1,0,0,0,0
100084,1,1,0,0,2,0
100085,1,1,0,0,1,0
100086,0,1,0,0,1,1
100087,0,1,0,0,1,1
100088,0,0,0,0,0,1
100089,1,1,0,0,1,0
100093,0,1,0,0,0,1
100094,0,1,0,0,0,1
100095,0,1,0,0,0,1
100096,0,1,0,0,0,1
100097,1,1,1,1,1,0
100098,1,1,0,0,2,0
100099,0,1,0,0,2,1
100100,1,1,1,1,1,0
100101,0,1,0,0,1,0
100102,0,0,0,0,1,1
100103,0,1,0,0,0,1
100104,0,1,0,0,0,1
100105,0,1,0,0,1,1
100108,0,1,1,1,1,0
100110,1,1,1,1,1,0
100111,0,1,0,0,0,1
100112,1,1,1,1,2,0
100113,1,1,0,0,0,0
100114,0,1,1,0,1,0
100115,0,0,1,1,0,0
100116,0,1,1,1,2,0
100118,0,1,0,0,0,1
100119,0,1,0,0,0,1
100120,0,0,1,1,1,0
100121,1,1,0,0,1,0
100122,0,0,0,0,0,1
100123,0,0,0,0,0,1
100124,1,1,0,0,2,0
100125,0,0,0,0,1,1
100126,1,1,1,1,1,0
100127,1,1,0,0,0,0
100129,0,1,0,0,0,0
100130,0,1,1,1,1,0
100131,0,1,0,0,2,1
100132,0,1,0,0,1,1
100133,0,0,1,1,0,0
100134,0,0,0,0,1,1
